X,Y,gml_id,beginLifespanVersion,conditionOfConstruction,beginning,end,endLifespanVersion,informationSystem,reference,localId,namespace,horizontalGeometryEstimatedAccuracy,horizontalGeometryEstimatedAccuracy_uom,horizontalGeometryReference,referenceGeometry,currentUse,numberOfBuildingUnits,numberOfDwellings,numberOfFloorsAboveGround,documentLink,format,sourceStatus,officialAreaReference,value,value_uom
293450.366553934,4604747.36125001,ES.SDGC.BU.3549219BG9034N,2005-07-07T00:00:00,functional,1991-01-01T00:00:00,1991-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549219&rc2=BG9034N,3549219BG9034N,3549219BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549219BG9034N,jpeg,NotOfficial,grossFloorArea,"290",m2
293449.148395936,4604712.58125,ES.SDGC.BU.3549220BG9034N,2006-08-28T00:00:00,functional,1996-01-01T00:00:00,1996-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549220&rc2=BG9034N,3549220BG9034N,3549220BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549220BG9034N,jpeg,NotOfficial,grossFloorArea,"468",m2
293441.63542811,4604708.8125006,ES.SDGC.BU.3549221BG9034N,2007-01-30T00:00:00,functional,1999-01-01T00:00:00,1999-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549221&rc2=BG9034N,3549221BG9034N,3549221BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549221BG9034N,jpeg,NotOfficial,grossFloorArea,"367",m2
293434.838591721,4604703.7534994,ES.SDGC.BU.3549222BG9034N,2006-12-28T00:00:00,functional,2006-01-01T00:00:00,2006-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549222&rc2=BG9034N,3549222BG9034N,3549222BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"9","6",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549222BG9034N,jpeg,NotOfficial,grossFloorArea,"800",m2
293447.781181966,4604758.86550003,ES.SDGC.BU.3549223BG9034N,2011-11-23T00:00:00,functional,1999-01-01T00:00:00,1999-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549223&rc2=BG9034N,3549223BG9034N,3549223BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549223BG9034N,jpeg,NotOfficial,grossFloorArea,"82",m2
293389.328045653,4604692.98525,ES.SDGC.BU.3549501BG9034N,2006-08-28T00:00:00,functional,1989-01-01T00:00:00,2000-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549501&rc2=BG9034N,3549501BG9034N,3549501BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",4_2_retail,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549501BG9034N,jpeg,NotOfficial,grossFloorArea,"1349",m2
293403.919960528,4604669.03975001,ES.SDGC.BU.3549502BG9034N,2006-08-28T00:00:00,functional,1984-01-01T00:00:00,1984-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549502&rc2=BG9034N,3549502BG9034N,3549502BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"18","8",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549502BG9034N,jpeg,NotOfficial,grossFloorArea,"1773",m2
293416.720904032,4604647.71500086,ES.SDGC.BU.3549503BG9034N,2015-03-02T00:00:00,functional,1992-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549503&rc2=BG9034N,3549503BG9034N,3549503BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549503BG9034N,jpeg,NotOfficial,grossFloorArea,"789",m2
293425.806110033,4604641.54750085,ES.SDGC.BU.3549504BG9034N,2006-08-28T00:00:00,functional,1970-01-01T00:00:00,1970-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549504&rc2=BG9034N,3549504BG9034N,3549504BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549504BG9034N,jpeg,NotOfficial,grossFloorArea,"569",m2
293433.108944962,4604634.1727505,ES.SDGC.BU.3549505BG9034N,2006-08-28T00:00:00,functional,1975-01-01T00:00:00,1975-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549505&rc2=BG9034N,3549505BG9034N,3549505BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"2","2",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549505BG9034N,jpeg,NotOfficial,grossFloorArea,"412",m2
