X,Y,PROV,CODPOS
0.633954188858807,41.6068206303342,"25","25001"
0.623936015015269,41.620309999918,"25","25004"
0.627925905837916,41.6298011470219,"25","25005"
0.621542473212666,41.6128670054377,"25","25002"
0.617027657746641,41.6147203665955,"25","25003"
0.621581962892231,41.6229395025331,"25","25008"
0.61445767603965,41.6192126602106,"25","25006"
0.633009571303387,41.6178048337071,"25","25007"
0.600092709734058,41.5893369233035,"25","25194"
0.646252312827852,41.6487163575016,"25","25195"
0.570853578317926,41.6004868900126,"25","25192"
0.505102555688039,41.6185563214172,"25","25193"
0.576865573156498,41.640112550928,"25","25198"
0.60194520646977,41.6253238666105,"25","25199"
0.606497714954081,41.6527088861976,"25","25196"
0.650734167205503,41.5603585644732,"25","25197"
0.672393707730678,41.6153019522333,"25","25190"
0.688806297816651,41.6287576537252,"25","25191"
0.5436258044941,41.6830998603795,"25","25110"
0.486255761910748,41.6772992492105,"25","25111"
0.408583356784167,41.7085235062266,"25","25113"
