X,Y,gml_id,beginLifespanVersion,conditionOfConstruction,beginning,end,endLifespanVersion,informationSystem,reference,localId,namespace,horizontalGeometryEstimatedAccuracy,horizontalGeometryEstimatedAccuracy_uom,horizontalGeometryReference,referenceGeometry,currentUse,numberOfBuildingUnits,numberOfDwellings,numberOfFloorsAboveGround,documentLink,format,sourceStatus,officialAreaReference,value,value_uom
298150.680755032,4614785.4136,ES.SDGC.BU.25023A00100031,2021-03-18T00:00:00,functional,1980-01-01T00:00:00,1980-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100031,25023A00100031,25023A00100031,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100031,jpeg,NotOfficial,grossFloorArea,"100",m2
298252.34,4614816.98,ES.SDGC.BU.25023A00100032,2017-05-24T00:00:00,functional,2010-01-01T00:00:00,2010-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100032,25023A00100032,25023A00100032,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100032,jpeg,NotOfficial,grossFloorArea,"39",m2
298273.565,4614595.36,ES.SDGC.BU.25023A00100039,2017-05-24T00:00:00,functional,2011-01-01T00:00:00,2011-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100039,25023A00100039,25023A00100039,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100039,jpeg,NotOfficial,grossFloorArea,"2554",m2
298320.699905811,4614659.1549996,ES.SDGC.BU.25023A00100039,2017-05-24T00:00:00,functional,2011-01-01T00:00:00,2011-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100039,25023A00100039,25023A00100039,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100039,jpeg,NotOfficial,grossFloorArea,"2554",m2
297742.905,4614625.365,ES.SDGC.BU.25023A00100044,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100044,25023A00100044,25023A00100044,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100044,jpeg,NotOfficial,grossFloorArea,"542",m2
297779.556439995,4614384.44487571,ES.SDGC.BU.25023A00100047,2018-10-04T00:00:00,functional,1960-01-01T00:00:00,2009-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100047,25023A00100047,25023A00100047,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"2","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100047,jpeg,NotOfficial,grossFloorArea,"2828",m2
297858.005985953,4614324.9136,ES.SDGC.BU.25023A00100049,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100049,25023A00100049,25023A00100049,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"2","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100049,jpeg,NotOfficial,grossFloorArea,"681",m2
297875.4759252,4614314.54955,ES.SDGC.BU.25023A00100049,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100049,25023A00100049,25023A00100049,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"2","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100049,jpeg,NotOfficial,grossFloorArea,"681",m2
297885.136375318,4614294.475,ES.SDGC.BU.25023A00100049,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100049,25023A00100049,25023A00100049,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"2","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100049,jpeg,NotOfficial,grossFloorArea,"681",m2
297880.82533702,4614323.65,ES.SDGC.BU.25023A00100049,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100049,25023A00100049,25023A00100049,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"2","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100049,jpeg,NotOfficial,grossFloorArea,"681",m2
