"year","postalcode","percentagepopulationover65","percentagepopulationunder18","percentagesinglepersonhouseholds","population","incomesperhousehold","netincomesperhousehold","incomesperunitofconsumption","grossincomesperperson","netincomesperperson","incomessourceisotherbenefits","incomessourceisotherincomes","incomessourceispension","incomessourceisunemploymentbenefit","incomessourceissalary","giniindex","incomesratioq80byq20","averagepopulationage","peopleperhousehold"
2022,"25004",18.186381836167506,16.87319704178247,32.6016675302652,21229,39113,31837,18508,15652,12724,813,1970,3483,450,8934,33,3,43,2
2023,"25004",18.186381836167506,16.87319704178247,32.6016675302652,21229,39113,31837,18508,15652,12724,813,1970,3483,450,8934,33,3,43,2
2024,"25004",18.186381836167506,16.87319704178247,32.6016675302652,21229,39113,31837,18508,15652,12724,813,1970,3483,450,8934,33,3,43,2
2015,"25005",14.711844433719433,20.25070785070785,27.466232303732305,49728,34617,29017,16461,13041,10935,543,1397,2314,300,8485,33,3,40,2
2016,"25005",14.975392121285433,20.312521672513206,27.04638321035442,49602,35936,29931,16995,13528,11275,576,1448,2400,261,8840,32,2,40,2
2017,"25005",15.215853805153687,20.319150002003767,27.432114375025048,49906,36785,30640,17472,13928,11604,606,1343,2487,239,9252,31,2,40,2
2018,"25005",15.485988956421563,20.285838001032854,27.46672029555476,50346,39626,32856,18757,15067,12493,691,1965,2581,243,9585,31,2,41,2
2019,"25005",15.734824650870861,20.16620312254825,27.011444766985722,50984,40285,33464,19062,15215,12640,725,1472,2710,247,10059,30,2,41,2
2020,"25005",16.06539948707832,19.908626948116,27.466121522982842,50690,40806,33804,19242,15502,12847,792,1403,2814,634,9857,30,2,41,2
2021,"25005",16.346773175542406,19.43168047337278,27.470193293885604,50700,43527,35277,20213,16567,13443,782,1879,2891,402,10611,30,2,41,2
2022,"25005",16.346773175542406,19.43168047337278,27.470193293885604,50700,43527,35277,20213,16567,13443,782,1879,2891,402,10611,30,2,41,2
2023,"25005",16.346773175542406,19.43168047337278,27.470193293885604,50700,43527,35277,20213,16567,13443,782,1879,2891,402,10611,30,2,41,2
2024,"25005",16.346773175542406,19.43168047337278,27.470193293885604,50700,43527,35277,20213,16567,13443,782,1879,2891,402,10611,30,2,41,2
2015,"25006",22.47362623120788,14.37538448246069,32.23209780542596,23148,41715,33973,20088,16930,13794,715,2730,4307,255,8918,36,3,45,2
2016,"25006",23.07527182219117,14.571756691847517,31.72823457490939,22901,43017,35039,20725,17478,14241,736,2702,4533,221,9279,36,3,46,2
2017,"25006",23.555116625745352,14.618563661873026,32.7372939319537,22808,43830,35563,21330,18007,14616,788,2746,4601,213,9655,35,3,46,2
