"year","postalcode","percentagepopulationover65","percentagepopulationunder18","percentagesinglepersonhouseholds","population","incomesperhousehold","netincomesperhousehold","incomesperunitofconsumption","grossincomesperperson","netincomesperperson","incomessourceisotherbenefits","incomessourceisotherincomes","incomessourceispension","incomessourceisunemploymentbenefit","incomessourceissalary","giniindex","incomesratioq80byq20","averagepopulationage","peopleperhousehold"
2024,"25197",16.377606380438415,19.64011652896509,26.2902335355079,20939,43237,35659,20871,16783,13844,768,2130,3025,335,10525,27,2,43,2
2015,"25198",19.74622096925762,17.356745871929117,20.448919318029265,7449,60465,47536,25379,20586,16198,592,4744,3278,166,11806,32,2,44,2
2016,"25198",20.066577181208054,17.139154362416107,20.535691275167785,7450,63726,49191,26594,21824,16862,646,5401,3297,141,12338,31,2,44,2
2017,"25198",20.542155816435432,17.010338847385274,21.590835112059768,7496,64326,50052,27070,22266,17346,634,5058,3487,117,12968,31,2,45,2
2018,"25198",21.122124705265914,16.977220330102174,20.503209326696357,7634,67136,51873,28039,23137,17910,745,5226,3607,126,13432,30,2,45,2
2019,"25198",21.31602886226002,16.918605849761626,19.70403298544002,7761,70112,54155,29217,24212,18740,781,5364,3785,133,14149,30,2,45,2
2020,"25198",21.912280701754387,16.837072608528622,19.531028300678702,7809,72808,56211,30302,25211,19504,865,5498,4093,409,14344,30,2,45,2
2021,"25198",22.05500945179584,17.39752993068683,19.47848771266541,7935,76330,54149,30626,26378,18788,831,6145,4104,248,15049,30,2,45,2
2022,"25198",22.05500945179584,17.39752993068683,19.47848771266541,7935,76330,54149,30626,26378,18788,831,6145,4104,248,15049,30,2,45,2
2023,"25198",22.05500945179584,17.39752993068683,19.47848771266541,7935,76330,54149,30626,26378,18788,831,6145,4104,248,15049,30,2,45,2
2024,"25198",22.05500945179584,17.39752993068683,19.47848771266541,7935,76330,54149,30626,26378,18788,831,6145,4104,248,15049,30,2,45,2
2015,"25199",20.95452412377181,17.008139023317202,26.73215280832967,13638,50425,40218,22839,18950,15136,677,3522,3636,198,10915,34,3,44,2
2016,"25199",21.59171360806404,16.908234509338868,26.4573821523866,13492,53126,42001,23930,20047,15886,726,3873,3913,175,11347,33,3,45,2
2017,"25199",21.87164922040846,17.05036966547105,26.985967352316813,13661,53588,42487,24414,20376,16181,736,3660,4073,169,11733,33,2,45,2
2018,"25199",22.492512671976826,16.51203475742216,26.294713975380162,13810,56938,44949,25613,21476,16990,802,4107,4189,162,12202,32,2,45,2
2019,"25199",22.784809312955293,16.535759177260392,25.74763605199257,14002,58782,46275,26368,22211,17527,853,4119,4372,168,12685,32,2,45,2
2020,"25199",23.48842196157444,16.159178239907895,25.81051306037274,13897,59959,47120,26934,22785,17948,901,4081,4631,469,12689,32,2,46,2
2021,"25199",23.594407190754744,16.343736624340135,25.88538307889856,14018,64607,47244,27722,24508,18024,900,5108,4645,295,13558,33,2,46,2
2022,"25199",23.594407190754744,16.343736624340135,25.88538307889856,14018,64607,47244,27722,24508,18024,900,5108,4645,295,13558,33,2,46,2
2023,"25199",23.594407190754744,16.343736624340135,25.88538307889856,14018,64607,47244,27722,24508,18024,900,5108,4645,295,13558,33,2,46,2
2024,"25199",23.594407190754744,16.343736624340135,25.88538307889856,14018,64607,47244,27722,24508,18024,900,5108,4645,295,13558,33,2,46,2
